slug,name,citation,year,jurisdiction,role,holding,significance
frye,Frye v. United States,293 F. 1013,1923,U.S. Court of Appeals,witness,"Scientific evidence is admissible only if the technique is ""generally accepted"" in its particular field.",The original gatekeeping test through which insect evidence (like all scientific evidence) had to pass; still law in several states.
daubert,"Daubert v. Merrell Dow Pharmaceuticals, Inc.",509 U.S. 579,1993,U.S. Supreme Court,witness,"The trial judge is a reliability gatekeeper, weighing testability, peer review, error rate, acceptance, and fit.",The doctrinal spine of forensic-entomology admissibility; the encoded authorities frame most disputes around application of the method rather than exclusion of forensic entomology wholesale.
kumho_tire,Kumho Tire Co. v. Carmichael,526 U.S. 137,1999,U.S. Supreme Court,witness,"The Daubert reliability inquiry extends to all expert testimony, not only the conventionally scientific.",Confirms that experience-based entomological opinion is screened under the same reliability standard as quantitative methods.
auker,Commonwealth v. Auker,545 Pa. 521,1996,U.S. state court,witness,Entomological post-mortem-interval testimony (a 19–25 day estimate) is admissible and probative.,A leading state-supreme-court affirmation of PMI testimony grounded in blow-fly development.
westerfield,People v. Westerfield,6 Cal.5th 632,2019,U.S. state court,witness,A conviction stands despite a celebrated 2002 'battle of five entomologists' over the post-mortem interval.,"The field's cautionary tale: when qualified experts diverge by ten or more days, a jury may discard the entomology entirely."
truscott,R. v. Truscott,2007 ONCA 575,2007,Canada,witness,"A 1959 murder conviction is quashed as a miscarriage of justice on fresh forensic evidence — centrally the unreliability of the stomach-contents (gastric-emptying) time-of-death estimate, with supporting entomological evidence.","Shows forensic biology, including entomology in a corroborating role, overturning a wrongful conviction decades later."
amazon_usda,Amazon Services LLC v. U.S. Department of Agriculture,No. 22-1052,2024,U.S. Court of Appeals,threat,"Secondary liability for unlawfully moving regulated pests and products requires ""conscious and culpable participation,"" not mere fulfilment services.","Marks the limits of secondary liability under the plant- and animal-health regime; the court vacated a $1,000,000 penalty."
home_builders_babbitt,National Association of Home Builders v. Babbitt,130 F.3d 1041,1997,U.S. Court of Appeals,protected,Congress may protect a purely intrastate insect (the Delhi Sands flower-loving fly) under the Commerce Clause.,The leading authority on federal power to protect insects that never cross state lines.
sweet_home,Babbitt v. Sweet Home Chapter of Communities for a Great Oregon,515 U.S. 687,1995,U.S. Supreme Court,protected,"The ESA ""take"" prohibition reaches significant habitat modification, not only direct killing.",Means an endangered insect's habitat enjoys the same protection as the insect itself.
almond_alliance,Almond Alliance of California v. Fish & Game Commission,79 Cal.App.5th 337,2022,U.S. state court,protected,"Bumblebees are ""fish"" under Fish & Game Code § 45 because that definition includes ""invertebrate,"" allowing CESA listing.",The single most-cited 'insect is a fish' holding; links conservation law to the definitional question that recurs field-wide.
case_of_swans,The Case of Swans,77 ER 435,1592,England & Wales,property,"Animals ferae naturae are owned only while reduced to possession (per industriam), a doctrine later applied to bees.",An early common-law root of the rule that bees are owned only while hived or actively pursued.
goff_kilts,Goff v. Kilts,15 Wend. 550,1836,U.S. state court,property,A beekeeper retains a 'qualified property' in a swarm while it is kept in sight and actively pursued.,The leading American authority on ownership of bees.
kearry_pattinson,Kearry v. Pattinson,[1939] 1 KB 471,1939,England & Wales,property,There is no right to pursue a swarm onto a neighbour's land; ownership is lost when the bees are not followed.,The leading modern English authority on swarm ownership.
ferreira_dasaro,Ferreira v. D'Asaro,152 So. 2d 736,1963,U.S. state court,property,A beekeeper may be liable in negligence for sting injuries where hives are kept close to a residential property line.,Establishes the negligence standard for keeping bees in proximity to neighbours.
horsch_terminex,Horsch v. Terminex International Co.,19 Kan. App. 2d 134,1993,U.S. state court,property,A pest-control company can face professional liability for a negligent wood-destroying-insect inspection.,"Anchors termite/real-estate inspection liability, a high-volume civil corner of the field."
chakrabarty,Diamond v. Chakrabarty,447 U.S. 303,1980,U.S. Supreme Court,invention,"A live, human-made micro-organism is patentable subject matter — ""anything under the sun that is made by man.""",The foundation for patenting engineered insect lines and their products.
ex_parte_allen,Ex parte Allen,2 USPQ2d 1425,1987,U.S. Patent,invention,Chakrabarty extends to multicellular animals as patentable subject matter.,"Opened the door to patenting whole engineered animals, including insects."
oncomouse,Harvard OncoMouse,"U.S. Patent 4,736,866",1988,U.S. Patent,invention,A transgenic non-human mammal is a valid patented invention.,"Confirmed the patentability of engineered animals, the regime within which GM and sterile-insect lines sit."
